6,0,23.1,27.2,30.2,6843,0.1,72,3.11,N/A,134.352,N/A,N/A,62.352,53.59056806,
,0.6,23.1,27.6,31.7,6864,0.11,75,3.01,N/A,130.032,N/A,N/A,55.032,57.67811,
,1.2,23.2,28.1,32.8,6775,0.13,94,3.51,N/A,151.632,N/A,N/A,57.632,61.99219162,
,1.8,23.3,28.4,33.7,6684,0.17,124,4.23,N/A,182.736,N/A,N/A,58.736,67.85745556,
,2.4,23.4,28.9,34.5,6593,0.25,170,5.38,N/A,232.416,N/A,N/A,62.416,73.14470604,
,3,23.4,29.5,35.4,6412,0.34,229,6.87,N/A,296.784,N/A,N/A,67.784,77.16049383,
,3.6,23.6,29.9,35.8,6237,0.45,296,8.64,N/A,373.248,N/A,N/A,77.248,79.30384088,
,4.2,23.6,30.5,36.8,5985,0.6,377,10.88,N/A,470.016,N/A,N/A,93.016,80.2100354,
,4.8,23.6,30.9,38.1,5753,0.76,460,13.2,N/A,570.24,N/A,N/A,110.24,80.667789,
,5,23.6,31.5,39.2,5675,0.82,485,14.23,N/A,614.736,N/A,N/A,129.736,78.89565602,
,5.2,23.7,31.9,40.5,5594,0.88,517,15.26,N/A,659.232,N/A,N/A,142.232,78.42459104,
,5.4,23.8,32.7,42.5,5442,0.95,551,16.5,N/A,712.8,N/A,N/A,161.8,77.30078563,
7,0,22.7,24,26.7,6811,0.1,73,3.15,N/A,136.08,N/A,N/A,63.08,53.64491476,
,0.6,22.7,24.7,29,6815,0.11,77,3.2,N/A,138.24,N/A,N/A,61.24,55.70023148,
,1.2,22.9,25.4,30.2,6811,0.13,93,3.63,N/A,156.816,N/A,N/A,63.816,59.30517294,
,1.8,23,25.8,31,6708,0.17,121,4.3,N/A,185.76,N/A,N/A,64.76,65.13781223,
,2.4,23.2,26.4,31.6,6610,0.23,163,5.3,N/A,228.96,N/A,N/A,65.96,71.19147449,
,3,23.2,27.3,32.7,6421,0.33,224,6.96,N/A,300.672,N/A,N/A,76.672,74.49978714,
,3.6,23.2,28,33.5,6326,0.44,290,8.69,N/A,375.408,N/A,N/A,85.408,77.24928611,
,4.2,23.2,28.4,34.2,6070,0.58,369,10.85,N/A,468.72,N/A,N/A,99.72,78.7250384,
,4.8,23.2,29.1,35.3,5829,0.77,466,13.78,N/A,595.296,N/A,N/A,129.296,78.28038488,
,5,23.3,29.8,37.3,5744,0.81,481,14.3,N/A,617.76,N/A,N/A,136.76,77.86195286,
,5.2,23.4,30.5,38.8,5653,0.86,510,15.22,N/A,657.504,N/A,N/A,147.504,77.56606804,
,5.4,23.4,31.3,40.7,5565,0.93,553,16.49,N/A,712.368,N/A,N/A,159.368,77.62841677,
8,0,23.1,32.9,39,6833,0.09,65,3.05,N/A,131.76,N/A,N/A,66.76,49.332119,
,0.6,23.1,32.9,41.2,6858,0.1,72,3.17,N/A,136.944,N/A,N/A,64.944,52.57623554,
,1.2,23.2,33.6,41.8,6840,0.13,91,3.57,N/A,154.224,N/A,N/A,63.224,59.00508351,
,1.8,23,34,42.4,6765,0.18,126,4.44,N/A,191.808,N/A,N/A,65.808,65.69069069,
,2.4,23.2,34.2,42.8,6576,0.26,175,5.66,N/A,244.512,N/A,N/A,69.512,71.57112943,
,3,23.5,34.6,43.3,6391,0.35,234,7.18,N/A,310.176,N/A,N/A,76.176,75.44103993,
,3.6,23.3,34.9,43.8,6213,0.47,303,9.04,N/A,390.528,N/A,N/A,87.528,77.58726647,
,4.2,23.7,35.2,44.4,5964,0.6,381,11.1,N/A,479.52,N/A,N/A,98.52,79.45445445,
,4.8,23.7,35.8,45.4,5729,0.77,457,13.5,N/A,583.2,N/A,N/A,126.2,78.36076818,
,5,23.7,36.3,47,5647,0.82,483,14.21,N/A,613.872,N/A,N/A,130.872,78.68089765,
,5.2,23.9,36.8,48.8,5496,0.88,507,15.45,N/A,667.44,N/A,N/A,160.44,75.96188421,
,5.4,24.1,37.3,50.6,5415,0.96,560,17.01,N/A,734.832,N/A,N/A,174.832,76.20789514,
9,0,23.6,33.6,34.1,6877,0.09,66,2.97,N/A,128.304,N/A,N/A,62.304,51.44032922,
,0.6,23.3,34.2,37.6,6843,0.1,73,3.09,N/A,133.488,N/A,N/A,60.488,54.68656359,
,1.2,23.6,34.5,40.1,6811,0.13,95,3.55,N/A,153.36,N/A,N/A,58.36,61.94574857,
,1.8,23.7,34.9,40.9,6723,0.18,128,4.37,N/A,188.784,N/A,N/A,60.784,67.80235613,
,2.4,23.4,35.1,41.2,6628,0.25,169,5.39,N/A,232.848,N/A,N/A,63.848,72.57953687,
,3,23.7,35.3,41.4,6440,0.33,225,6.74,N/A,291.168,N/A,N/A,66.168,77.27497527,
,3.6,23.7,35.6,41.7,6177,0.44,290,8.65,N/A,373.68,N/A,N/A,83.68,77.60650824,
,4.2,23.8,35.8,42.1,6014,0.6,381,10.89,N/A,470.448,N/A,N/A,89.448,80.98663402,
,4.8,23.9,36.2,42.5,5782,0.76,459,13.3,N/A,574.56,N/A,N/A,115.56,79.88721805,
